omega,Re_I,Im_I,Re_FL,Im_FL,Re_FR,Im_FR,Re_G,Im_G
-0.54,0.333243680233004,-0.0883741628983946,-0.7928639917190761,0.08072088288966191,-0.7928639917190761,0.08072088288966191,-0.45571840001559744,-0.2671488057366023
-0.53,0.31947055916530437,-0.08693626908839394,-0.7897032392052011,0.0770519976724379,-0.7897032392052011,0.0770519976724379,-0.47827670082569995,-0.27486615951565246
-0.52,0.30599849892906744,-0.08577167797392501,-0.787051282778517,0.07317389927117163,-0.787051282778517,0.07317389927117163,-0.5008962292069893,-0.2833418028859073
-0.51,0.2928355822620388,-0.08491100430622939,-0.7848567684718019,0.0691114408524141,-0.7848567684718019,0.0691114408524141,-0.5235513240546309,-0.29264764408764987
-0.5,0.28000580075580483,-0.08434437557494694,-0.7831194084487131,0.0648903394511724,-0.7831194084487131,0.0648903394511724,-0.5462068568811901,-0.3028072416721264
-0.49,0.2675139937543852,-0.0840262055567137,-0.7818810670399822,0.06050673259610797,-0.7818810670399822,0.06050673259610797,-0.5688545439084769,-0.3138116984055626
-0.48,0.25532454598950827,-0.08390188391871645,-0.7812011974312579,0.05590678963338599,-0.7812011974312579,0.05590678963338599,-0.5915266679505082,-0.3256524202056718
-0.47,0.24336400632172706,-0.08394096479808598,-0.7811250946985541,0.05098363416962675,-0.7811250946985541,0.05098363416962675,-0.6142847993090508,-0.33835105527904863
-0.46,0.2315447776373907,-0.0841596011469119,-0.7816563084339962,0.04559255066756199,-0.7816563084339962,0.04559255066756199,-0.637194067660411,-0.3519723084266359
-0.45,0.2197969446946254,-0.08462204293215844,-0.78274302932987,0.03957843124688902,-0.78274302932987,0.03957843124688902,-0.6602987100166763,-0.36661681939762286
-0.44,0.20809287609784918,-0.08542222152553149,-0.784282621946744,0.03280469848570222,-0.784282621946744,0.03280469848570222,-0.6836109754637829,-0.3824020631173457
-0.43,0.1964545533838627,-0.08665561999055481,-0.786141060546292,0.025172740745864567,-0.786141060546292,0.025172740745864567,-0.7071164013932671,-0.3994441969351624
