omega,Re_I,Im_I,Re_FL,Im_FL,Re_FR,Im_FR,Re_G,Im_G
-1.41,2.0376479328477752,-2.185240616184363,-1.5012744114809116,1.2498015969902962,-1.5012744114809116,1.2498015969902962,0.42799363140943614,-0.7691593193730727
-1.4,2.052415199819301,-2.1479146930296675,-1.5152144024537846,1.2322505290259123,-1.5152144024537846,1.2322505290259123,0.4374193433636968,-0.7611028349722653
-1.39,2.0655906516347726,-2.108482484859689,-1.5283183729334884,1.2133086278602525,-1.5283183729334884,1.2133086278602525,0.4463664706649389,-0.7521895928732119
-1.38,2.076180202195227,-2.067745578620977,-1.5399663067481624,1.193444698428049,-1.5399663067481624,1.193444698428049,0.454479008286901,-0.7427172478844579
-1.37,2.0837597748189136,-2.0270147411152535,-1.5498759741370418,1.1734474953700538,-1.5498759741370418,1.1734474953700538,0.4616132463270765,-0.7331649011724188
-1.36,2.0887224062816503,-1.9876950117892043,-1.5582608233668374,1.1541785101102608,-1.5582608233668374,1.1541785101102608,0.4679252960346043,-0.7240401477847026
-1.35,2.0922271396762424,-1.950774710206757,-1.5658096511345447,1.1362601226960956,-1.5658096511345447,1.1362601226960956,0.47385007302129184,-0.7156920564727716
-1.34,2.095836931930376,-1.9164211522952783,-1.5734747173948573,1.1198208779833225,-1.5734747173948573,1.1198208779833225,0.47996627171797157,-0.7081632738663057
-1.33,2.100959188024513,-1.883862785600385,-1.582131908683052,1.1044106240909972,-1.582131908683052,1.1044106240909972,0.4867879542441077,-0.7011481852855627
-1.32,2.1083018259518287,-1.8516409753746437,-1.5922410357373062,1.0891429188054138,-1.5922410357373062,1.0891429188054138,0.49456200745998097,-0.6940894850946976
-1.31,2.117583042280965,-1.818161082068234,-1.6036550535850185,1.0730279228896882,-1.6036550535850185,1.0730279228896882,0.503161785001289,-0.6863871800759049
-1.3,2.127645011527991,-1.7823212790260652,-1.61567670188355,1.0553626925831083,-1.61567670188355,1.0553626925831083,0.5121340583675703,-0.6776357314196423
-1.29,2.136939549242982,-1.743937959269783,-1.627349531554985,1.036004219028718,-1.627349531554985,1.036004219028718,0.520886479012914,-0.6677822101904457
-1.28,2.1441692469029476,-1.7037719270273286,-1.6378539394389715,1.0153990857677857,-1.6378539394389715,1.0153990857677857,0.5289322555338986,-0.6571314478186626
-1.27,2.148790404186892,-1.663153347435292,-1.6468265884060331,0.9943617534899829,-1.6468265884060331,0.9943617534899829,0.5360797991239388,-0.6461985259040028
-1.26,2.151161174314006,-1.6233962431575155,-1.6544647700884234,0.9737145234648245,-1.6544647700884234,0.9737145234648245,0.5424851271204565,-0.6354824688414374
-1.25,2.1523009768189834,-1.5852783051015815,-1.6613881812345492,0.9539591547284161,-1.6613881812345492,0.9539591547284161,0.5485549262119633,-0.6252671225991949
-1.24,2.153409250957348,-1.5488030669270916,-1.668344672720777,0.9351182771121073,-1.668344672720777,0.9351182771121073,0.5547579442253643,-0.6155324157935167
-1.23,2.1553802630737757,-1.5133066075790385,-1.6759054046075061,0.9167910456786836,-1.6759054046075061,0.9167910456786836,0.5614364397023468,-0.6059995028830086
-1.22,2.158516330843489,-1.4778103885535745,-1.6842777377576996,0.8983669454040313,-1.6842777377576996,0.8983669454040313,0.5686961732236905,-0.596271165550438
-1.21,2.1625217981498044,-1.4414330612512793,-1.6932919495986258,0.8792832532077908,-1.6932919495986258,0.8792832532077908,0.5764068344902202,-0.5859942313277348
-1.2,2.16672624620904,-1.403684854030229,-1.702534205799311,0.8592147393659764,-1.702534205799311,0.8592147393659764,0.5842924824372191,-0.5749748081943786
-1.19,2.170401508475839,-1.364553214818574,-1.7115435285774103,0.8381349587282081,-1.7115435285774103,0.8381349587282081,0.5920584879715749,-0.5632104050099188
-1.18,2.1730295113488505,-1.324393272701361,-1.7199828794944132,0.8162538148620584,-1.7199828794944132,0.8162538148620584,0.5994982949554418,-0.5508443727700792
-1.17,2.1744318202223463,-1.2837106422290294,-1.7277261052458583,0.7938838740927749,-1.7277261052458583,0.7938838740927749,0.6065444917850269,-0.5380775312667089
-1.16,2.174748091056187,-1.242943310878121,-1.734849778835142,0.7713021170891607,-1.734849778835142,0.7713021170891607,0.613259012742289,-0.5250797013715954
-1.15,2.174311209406256,-1.2023207842740324,-1.741557814337024,0.7486576337799073,-1.741557814337024,0.7486576337799073,0.619781607007926,-0.5119326386502572
-1.14,2.173491515394409,-1.1618278590006417,-1.7480836955890855,0.7259445518594964,-1.7480836955890855,0.7259445518594964,0.6262658041544177,-0.4986155449152393
-1.13,2.172572264290934,-1.1212543283835947,-1.7546100755064753,0.703030177626039,-1.7546100755064753,0.703030177626039,0.6328276773612457,-0.48502567767709054
-1.12,2.1716882883442272,-1.0802869538820035,-1.7612272132622024,0.679711661545589,-1.7612272132622024,0.679711661545589,0.6395205758728025,-0.4710162670273236
-1.11,2.1708275148751626,-1.038598709741302,-1.7679313286603913,0.6557726734976692,-1.7679313286603913,0.6557726734976692,0.6463357945570954,-0.4564332013749757
-1.1,2.1698730139241547,-0.9959052369021677,-1.7746495553032076,0.6310203493849822,-1.7746495553032076,0.6310203493849822,0.653219981268696,-0.44113791915786416
-1.09,2.168655715120128,-0.9519788530433608,-1.7812727330577773,0.6052955059213179,-1.7812727330577773,0.6052955059213179,0.6600967531396625,-0.42501233730059373
-1.08,2.166992202703329,-0.9066277235861349,-1.7876794333392718,0.578460276027183,-1.7876794333392718,0.578460276027183,0.6668815456310353,-0.4079489289037762
-1.07,2.1646924497526654,-0.8596579166272773,-1.7937409646468108,0.5503741755112246,-1.7937409646468108,0.5503741755112246,0.6734829456602808,-0.3898335469925782
-1.06,2.161533968583177,-0.8108392197569951,-1.7993045048879608,0.5208720860992926,-1.7993045048879608,0.5208720860992926,0.6797886681066639,-0.3705302737836498
-1.05,2.1572090452266774,-0.7598939080963425,-1.8041582510318714,0.4897569294653442,-1.8041582510318714,0.4897569294653442,0.685638905993597,-0.34987722310329944
-1.04,2.1512600905932633,-0.7065228600843634,-1.8079882221181551,0.4568169249785275,-1.8079882221181551,0.4568169249785275,0.69079386295977,-0.32770040151254665
-1.03,2.1430248298355634,-0.6504757484306556,-1.8103410916147962,0.42187235662742356,-1.8103410916147962,0.42187235662742356,0.6949058382620729,-0.30384933974188316
-1.02,2.131617001155865,-0.5916608010957765,-1.810610352667163,0.38484925536809045,-1.810610352667163,0.38484925536809045,0.6975085958265604,-0.27825279033354383
-1.01,2.115966601250576,-0.5302751325590163,-1.808062258365238,0.3458675563947321,-1.808062258365238,0.3458675563947321,0.6980363372539901,-0.2509854794108177
-1.0,2.0949332563694583,-0.46692207022656756,-1.801911101996428,0.3053212858812305,-1.801911101996428,0.3053212858812305,0.6958796641778014,-0.22232932898811458
-0.99,2.0674862663448637,-0.40267350458725915,-1.7914399636956433,0.2639224212765178,-1.7914399636956433,0.2639224212765178,0.6904759821667815,-0.19280794903021148
-0.98,2.032919599836146,-0.339039940392089,-1.7761459389399066,0.22268293770445033,-1.7761459389399066,0.22268293770445033,0.6814189815098481,-0.16317510195676488
-0.97,1.9910490433954209,-0.27783172673068324,-1.7558744358378398,0.18282337682659217,-1.7558744358378398,0.18282337682659217,0.6685608709048417,-0.1343479773853071
