omega,spectrum
3.2125,0.4424336041761298
3.225,0.40981291067582526
3.2375,0.38617018789612995
3.25,0.36856321153993804
3.2625,0.34492298032704005
3.275,0.31326556310280596
3.2875,0.284495351924451
3.3,0.2664092089944124
3.3125,0.25409712592219297
3.325,0.23901323223025323
3.3375,0.22029393184043697
3.35,0.20456731970220596
3.3625,0.19623830572415943
3.375,0.19135738756617537
3.3875,0.18338605438917754
3.4,0.17163770440448753
3.4125,0.16131105831238163
3.425,0.15601981255241285
3.4375,0.15262134665621307
3.45,0.14595798914203428
3.4625,0.135845230021027
3.475,0.12669396775816583
3.4875,0.12151287574634118
3.5,0.11796384433755819
3.5125,0.11207801171804731
3.525,0.10372292057840356
3.5375,0.09609019122516596
3.55,0.09147034496310888
3.5625,0.08835213183088177
3.575,0.08374311874190726
3.5875,0.07733748983364687
3.6,0.07131108056795812
3.6125,0.06754811728901287
3.625,0.06549181069242903
3.6375,0.0629129201965974
3.65,0.05895784388705858
3.6625,0.054843857030276305
3.675,0.052109722309826675
3.6875,0.05089860230724736
3.7,0.04968502032939606
3.7125,0.04728241729568149
3.725,0.04427953132507727
3.7375,0.04199379372261006
3.75,0.0410685484015112
3.7625,0.04072347143038932
3.775,0.03965812237137166
3.7875,0.03780788477060796
3.8,0.03615496959967286
3.8125,0.035552832564831896
3.825,0.03579323637111182
3.8375,0.03564246188371117
3.85,0.03444839645155878
3.8625,0.03289855120488753
3.875,0.03199024221613702
3.8875,0.031933901461420694
3.9,0.03175927603914557
3.9125,0.030566585009311562
3.925,0.028735652607868215
3.9375,0.027214902092691215
3.95,0.02649805478185104
3.9625,0.02607558847964222
3.975,0.02507626458886993
3.9875,0.023501925643663202
4.0,0.022006130427166832
4.0125,0.021119582712693676
4.025,0.020773404314755006
4.0375,0.02030664536593013
4.05,0.019331765784483017
4.0625,0.018178911000751957
4.075,0.01733150535263
4.0875,0.017004640167678994
4.1,0.016902647549259596
4.1125,0.016491601323033053
4.125,0.015728196989661308
4.1375,0.014994731640844782
4.15,0.014619429892480993
4.1625,0.014614131855096435
4.175,0.01456426164189782
4.1875,0.01410436994358558
4.2,0.01340545190596497
4.2125,0.01283524278687779
4.225,0.012603034809551838
4.2375,0.0125613280019328
4.25,0.012312855488971276
4.2625,0.011761553443674157
4.275,0.011176455271482325
4.2875,0.010817616271157108
4.3,0.010767687612648878
4.3125,0.010812892869146168
4.325,0.010628627786257857
4.3375,0.010223668913108996
4.35,0.009852500903454811
4.3625,0.009718735365437636
4.375,0.0098399157407119
4.3875,0.00995737447988029
4.4,0.009803979078267109
4.4125,0.009475688712339836
4.425,0.009228246442852485
4.4375,0.009220205453660854
4.45,0.009372482632336355
4.4625,0.009373617780287417
4.475,0.009092707582155959
4.4875,0.008736906701262065
4.5,0.008531575649394316
4.5125,0.008552690172837302
4.525,0.008616084183882338
4.5375,0.008440579252043716
4.55,0.008049193937878531
4.5625,0.007668003574336135
4.575,0.007461285699922984
4.5875,0.007430178778001627
